品牌,类别,订单来源,订单状态,账期,成交价,订单金额,账单金额,账单二级类型,项目,收件人姓名,收件人姓名_脱敏,收件人手机号,收件人手机号_脱敏
雷神,电脑配件,天猫,已成交,2026-07,8549.0,8843.73,8843.73,退换订单,PC 经营采购,顾客2215,顾客2215,1**********,1**********
机械革命,电脑配件,天猫,已成交,2026-07,10217.41,9554.57,9554.57,退换订单,PC 经营采购,顾客2216,顾客2216,1**********,1**********
微星,笔记本电脑,天猫,已成交,2026-04,10598.91,9524.76,9524.76,退换订单,PC 经营采购,顾客2217,顾客2217,1**********,1**********
雷神,台式整机,拼多多,报价中,2026-02,,8709.81,1846.77,退换订单,PC 经营采购,顾客2218,顾客2218,1**********,1**********
宏碁（acer）,电脑配件,淘宝,已成交,2026-08,8008.91,8206.58,8206.58,销售订单,PC 经营采购,顾客2219,顾客2219,1**********,1**********
ThinkPad,笔记本电脑,京东,已成交,2026-07,6662.27,5939.55,5939.55,采购订单,PC 经营采购,顾客2220,顾客2220,1**********,1**********
宏碁（acer）,一体机,电商通,已成交,2026-05,8095.37,7129.83,7129.83,销售订单,PC 经营采购,顾客2221,顾客2221,1**********,1**********
雷神,笔记本电脑,拼多多,新建采购,2026-04,,9939.08,541.76,退换订单,PC 经营采购,顾客2222,顾客2222,1**********,1**********
联想（Lenovo）,电脑配件,京东,报价中,2026-06,,6835.37,746.22,销售订单,PC 经营采购,顾客2223,顾客2223,1**********,1**********
ThinkPad,笔记本电脑,快手,撤销,2026-01,,7568.63,135.49,退换订单,PC 经营采购,顾客2224,顾客2224,1**********,1**********
微星,电脑配件,淘宝,已成交,2026-01,10496.2,10922.11,10922.11,销售订单,PC 经营采购,顾客2225,顾客2225,1**********,1**********
雷神,电脑配件,拼多多,报价中,2026-01,,7582.56,2093.16,退换订单,PC 经营采购,顾客2226,顾客2226,1**********,1**********
宏碁（acer）,电脑配件,抖音,撤销,2026-01,,7623.42,1062.88,销售订单,PC 经营采购,顾客2227,顾客2227,1**********,1**********
惠普(HP),台式整机,天猫,已成交,2026-04,8232.59,7982.26,7982.26,销售订单,PC 经营采购,顾客2228,顾客2228,1**********,1**********
惠普(HP),显示器,淘宝,已成交,2026-07,6969.91,7325.22,7325.22,退换订单,PC 经营采购,顾客2229,顾客2229,1**********,1**********
ThinkPad,一体机,天猫,报价中,2026-05,,7884.02,1584.96,销售订单,PC 经营采购,顾客2230,顾客2230,1**********,1**********
七彩虹,显示器,抖音,报价中,2026-07,,8066.83,1999.61,采购订单,PC 经营采购,顾客2231,顾客2231,1**********,1**********
ThinkPad,显示器,天猫,已成交,2026-03,7041.12,7576.81,7576.81,销售订单,PC 经营采购,顾客2232,顾客2232,1**********,1**********
华硕（ASUS）,轻薄本,淘宝,已成交,2026-08,9551.67,8267.83,8267.83,采购订单,PC 经营采购,顾客2233,顾客2233,1**********,1**********
宏碁（acer）,笔记本电脑,京东,已成交,2026-01,8112.65,6511.08,6511.08,采购订单,PC 经营采购,顾客2234,顾客2234,1**********,1**********
微星,一体机,快手,撤销,2026-05,,10086.93,2874.58,退换订单,PC 经营采购,顾客2235,顾客2235,1**********,1**********
华硕（ASUS）,台式整机,拼多多,撤销,2026-08,,9701.39,126.65,销售订单,PC 经营采购,顾客2236,顾客2236,1**********,1**********
ThinkPad,笔记本电脑,京东,已成交,2026-07,7232.66,8025.37,8025.37,退换订单,PC 经营采购,顾客2237,顾客2237,1**********,1**********
惠普(HP),电脑配件,抖音,已成交,2026-03,7406.2,8199.36,8199.36,采购订单,PC 经营采购,顾客2238,顾客2238,1**********,1**********
华硕（ASUS）,游戏本,京东,撤销,2026-08,,8775.48,387.34,退换订单,PC 经营采购,顾客2239,顾客2239,1**********,1**********
联想（Lenovo）,笔记本电脑,电商通,撤销,2026-06,,7443.54,1775.17,采购订单,PC 经营采购,顾客2240,顾客2240,1**********,1**********
华硕（ASUS）,一体机,拼多多,撤销,2026-02,,9008.94,2130.99,退换订单,PC 经营采购,顾客2241,顾客2241,1**********,1**********
七彩虹,电脑配件,抖音,已成交,2026-05,8184.51,8636.34,8636.34,销售订单,PC 经营采购,顾客2242,顾客2242,1**********,1**********
微星,一体机,天猫,已成交,2026-04,8489.64,7958.29,7958.29,采购订单,PC 经营采购,顾客2243,顾客2243,1**********,1**********
惠普(HP),显示器,抖音,已成交,2026-05,6862.98,6495.59,6495.59,退换订单,PC 经营采购,顾客2244,顾客2244,1**********,1**********
微星,游戏本,拼多多,撤销,2026-07,,8290.13,2146.16,退换订单,PC 经营采购,顾客2245,顾客2245,1**********,1**********
雷神,笔记本电脑,京东,已成交,2026-02,9342.42,9469.7,9469.7,销售订单,PC 经营采购,顾客2246,顾客2246,1**********,1**********
联想（Lenovo）,电脑配件,抖音,已成交,2026-02,6217.96,6589.99,6589.99,采购订单,PC 经营采购,顾客2247,顾客2247,1**********,1**********
联想（Lenovo）,电脑配件,抖音,已成交,2026-05,5999.57,6385.49,6385.49,销售订单,PC 经营采购,顾客2248,顾客2248,1**********,1**********
惠普(HP),游戏本,抖音,已成交,2026-02,7449.97,7417.5,7417.5,采购订单,PC 经营采购,顾客2249,顾客2249,1**********,1**********
惠普(HP),游戏本,快手,撤销,2026-07,,6894.33,2010.68,采购订单,PC 经营采购,顾客2250,顾客2250,1**********,1**********
华硕（ASUS）,台式整机,拼多多,已成交,2026-06,8141.27,8663.15,8663.15,退换订单,PC 经营采购,顾客2251,顾客2251,1**********,1**********
惠普(HP),笔记本电脑,快手,待发布,2026-06,,7466.5,863.43,退换订单,PC 经营采购,顾客2252,顾客2252,1**********,1**********
宏碁（acer）,游戏本,天猫,撤销,2026-08,,8496.13,1729.48,退换订单,PC 经营采购,顾客2253,顾客2253,1**********,1**********
机械革命,轻薄本,拼多多,撤销,2026-06,,10598.27,462.1,采购订单,PC 经营采购,顾客2254,顾客2254,1**********,1**********
七彩虹,游戏本,电商通,已成交,2026-07,7090.16,9746.45,9746.45,退换订单,PC 经营采购,顾客2255,顾客2255,1**********,1**********
华硕（ASUS）,轻薄本,电商通,撤销,2026-07,,7111.72,971.55,退换订单,PC 经营采购,顾客2256,顾客2256,1**********,1**********
机械革命,游戏本,淘宝,已成交,2026-02,9028.46,8774.98,8774.98,退换订单,PC 经营采购,顾客2257,顾客2257,1**********,1**********
ThinkPad,一体机,淘宝,报价中,2026-03,,7434.05,917.05,销售订单,PC 经营采购,顾客2258,顾客2258,1**********,1**********
联想（Lenovo）,显示器,拼多多,报价中,2026-01,,6368.8,440.1,销售订单,PC 经营采购,顾客2259,顾客2259,1**********,1**********
华硕（ASUS）,台式整机,淘宝,已成交,2026-03,8289.05,7658.03,7658.03,退换订单,PC 经营采购,顾客2260,顾客2260,1**********,1**********
雷神,电脑配件,拼多多,已成交,2026-08,8405.21,7974.23,7974.23,销售订单,PC 经营采购,顾客2261,顾客2261,1**********,1**********
机械革命,笔记本电脑,拼多多,已成交,2026-02,10373.1,10392.7,10392.7,销售订单,PC 经营采购,顾客2262,顾客2262,1**********,1**********
ThinkPad,笔记本电脑,抖音,已成交,2026-03,7129.75,7795.77,7795.77,销售订单,PC 经营采购,顾客2263,顾客2263,1**********,1**********
华硕（ASUS）,轻薄本,拼多多,已成交,2026-03,8616.16,9261.97,9261.97,销售订单,PC 经营采购,顾客2264,顾客2264,1**********,1**********
七彩虹,一体机,抖音,撤销,2026-02,,9074.66,2462.65,销售订单,PC 经营采购,顾客2265,顾客2265,1**********,1**********
七彩虹,电脑配件,快手,待发布,2026-03,,7658.5,1472.25,销售订单,PC 经营采购,顾客2266,顾客2266,1**********,1**********
ThinkPad,一体机,电商通,报价中,2026-03,,8221.3,1260.41,销售订单,PC 经营采购,顾客2267,顾客2267,1**********,1**********
微星,游戏本,拼多多,报价中,2026-07,,10263.12,1048.14,销售订单,PC 经营采购,顾客2268,顾客2268,1**********,1**********
ThinkPad,台式整机,快手,新建采购,2026-05,,6276.91,958.53,销售订单,PC 经营采购,顾客2269,顾客2269,1**********,1**********
ThinkPad,显示器,拼多多,撤销,2026-07,,7161.02,338.94,退换订单,PC 经营采购,顾客2270,顾客2270,1**********,1**********
七彩虹,笔记本电脑,抖音,待发布,2026-01,,8330.57,945.53,销售订单,PC 经营采购,顾客2271,顾客2271,1**********,1**********
ThinkPad,轻薄本,抖音,已成交,2026-03,6418.99,6099.13,6099.13,退换订单,PC 经营采购,顾客2272,顾客2272,1**********,1**********
微星,电脑配件,电商通,已成交,2026-04,9764.24,8984.22,8984.22,销售订单,PC 经营采购,顾客2273,顾客2273,1**********,1**********
七彩虹,台式整机,电商通,已成交,2026-04,7320.01,8528.31,8528.31,采购订单,PC 经营采购,顾客2274,顾客2274,1**********,1**********
联想（Lenovo）,一体机,天猫,已成交,2026-04,6334.02,7524.69,7524.69,采购订单,PC 经营采购,顾客2275,顾客2275,1**********,1**********
宏碁（acer）,台式整机,拼多多,已成交,2026-05,7186.93,6066.82,6066.82,销售订单,PC 经营采购,顾客2276,顾客2276,1**********,1**********
联想（Lenovo）,游戏本,淘宝,已成交,2026-02,6724.05,6935.61,6935.61,退换订单,PC 经营采购,顾客2277,顾客2277,1**********,1**********
宏碁（acer）,电脑配件,抖音,已成交,2026-05,8233.11,7777.45,7777.45,销售订单,PC 经营采购,顾客2278,顾客2278,1**********,1**********
惠普(HP),台式整机,拼多多,已成交,2026-07,6853.24,6567.55,6567.55,采购订单,PC 经营采购,顾客2279,顾客2279,1**********,1**********
惠普(HP),游戏本,抖音,已成交,2026-07,7665.58,7711.98,7711.98,采购订单,PC 经营采购,顾客2280,顾客2280,1**********,1**********
雷神,一体机,淘宝,撤销,2026-08,,8809.28,1494.14,退换订单,PC 经营采购,顾客2281,顾客2281,1**********,1**********
微星,游戏本,淘宝,已成交,2026-01,10023.72,10783.58,10783.58,销售订单,PC 经营采购,顾客2282,顾客2282,1**********,1**********
惠普(HP),笔记本电脑,拼多多,已成交,2026-01,8586.74,8224.77,8224.77,退换订单,PC 经营采购,顾客2283,顾客2283,1**********,1**********
七彩虹,轻薄本,快手,待发布,2026-06,,6917.04,386.0,销售订单,PC 经营采购,顾客2284,顾客2284,1**********,1**********
华硕（ASUS）,台式整机,拼多多,撤销,2026-05,,9999.23,2575.26,采购订单,PC 经营采购,顾客2285,顾客2285,1**********,1**********
惠普(HP),游戏本,拼多多,撤销,2026-08,,8463.18,2231.4,销售订单,PC 经营采购,顾客2286,顾客2286,1**********,1**********
惠普(HP),轻薄本,拼多多,已成交,2026-03,8447.79,8971.14,8971.14,退换订单,PC 经营采购,顾客2287,顾客2287,1**********,1**********
机械革命,电脑配件,快手,待发布,2026-05,,8767.6,213.21,退换订单,PC 经营采购,顾客2288,顾客2288,1**********,1**********
机械革命,显示器,天猫,已成交,2026-05,8902.76,8203.79,8203.79,采购订单,PC 经营采购,顾客2289,顾客2289,1**********,1**********
机械革命,显示器,抖音,撤销,2026-01,,10968.55,590.88,采购订单,PC 经营采购,顾客2290,顾客2290,1**********,1**********
华硕（ASUS）,笔记本电脑,抖音,已成交,2026-08,8018.21,9278.92,9278.92,退换订单,PC 经营采购,顾客2291,顾客2291,1**********,1**********
微星,笔记本电脑,拼多多,已成交,2026-06,10731.16,9987.88,9987.88,销售订单,PC 经营采购,顾客2292,顾客2292,1**********,1**********
微星,游戏本,电商通,新建采购,2026-03,,10164.76,2330.68,采购订单,PC 经营采购,顾客2293,顾客2293,1**********,1**********
微星,一体机,拼多多,已成交,2026-03,8553.36,8293.58,8293.58,采购订单,PC 经营采购,顾客2294,顾客2294,1**********,1**********
联想（Lenovo）,轻薄本,拼多多,已成交,2026-04,7551.75,5986.42,5986.42,采购订单,PC 经营采购,顾客2295,顾客2295,1**********,1**********
ThinkPad,显示器,电商通,撤销,2026-02,,7141.3,2032.4,采购订单,PC 经营采购,顾客2296,顾客2296,1**********,1**********
宏碁（acer）,一体机,淘宝,报价中,2026-01,,8008.19,1907.13,退换订单,PC 经营采购,顾客2297,顾客2297,1**********,1**********
华硕（ASUS）,显示器,淘宝,已成交,2026-02,8431.76,9657.94,9657.94,退换订单,PC 经营采购,顾客2298,顾客2298,1**********,1**********
微星,电脑配件,天猫,报价中,2026-07,,11161.74,3300.9,销售订单,PC 经营采购,顾客2299,顾客2299,1**********,1**********
华硕（ASUS）,一体机,淘宝,已成交,2026-01,8234.33,7432.66,7432.66,销售订单,PC 经营采购,顾客2300,顾客2300,1**********,1**********
惠普(HP),一体机,京东,报价中,2026-07,,7820.35,164.7,采购订单,PC 经营采购,顾客2301,顾客2301,1**********,1**********
ThinkPad,一体机,拼多多,撤销,2026-07,,7820.63,1042.62,退换订单,PC 经营采购,顾客2302,顾客2302,1**********,1**********
微星,轻薄本,抖音,撤销,2026-05,,10235.82,1736.65,销售订单,PC 经营采购,顾客2303,顾客2303,1**********,1**********
雷神,游戏本,快手,报价中,2026-08,,7508.81,270.62,销售订单,PC 经营采购,顾客2304,顾客2304,1**********,1**********
微星,电脑配件,电商通,报价中,2026-05,,9155.0,1810.51,销售订单,PC 经营采购,顾客2305,顾客2305,1**********,1**********
七彩虹,游戏本,拼多多,已成交,2026-04,8111.92,8537.7,8537.7,销售订单,PC 经营采购,顾客2306,顾客2306,1**********,1**********
ThinkPad,一体机,拼多多,已成交,2026-05,7066.74,8196.86,8196.86,销售订单,PC 经营采购,顾客2307,顾客2307,1**********,1**********
惠普(HP),游戏本,拼多多,已成交,2026-07,6882.38,6972.38,6972.38,采购订单,PC 经营采购,顾客2308,顾客2308,1**********,1**********
七彩虹,轻薄本,淘宝,新建采购,2026-03,,9258.75,1894.53,销售订单,PC 经营采购,顾客2309,顾客2309,1**********,1**********
惠普(HP),轻薄本,电商通,报价中,2026-04,,7548.37,1925.89,采购订单,PC 经营采购,顾客2310,顾客2310,1**********,1**********
联想（Lenovo）,电脑配件,抖音,撤销,2026-02,,7532.87,1967.51,采购订单,PC 经营采购,顾客2311,顾客2311,1**********,1**********
宏碁（acer）,电脑配件,拼多多,已成交,2026-07,7218.55,8487.99,8487.99,销售订单,PC 经营采购,顾客2312,顾客2312,1**********,1**********
华硕（ASUS）,显示器,淘宝,已成交,2026-03,9315.56,8226.26,8226.26,采购订单,PC 经营采购,顾客2313,顾客2313,1**********,1**********
七彩虹,台式整机,天猫,已成交,2026-07,8493.8,7284.65,7284.65,销售订单,PC 经营采购,顾客2314,顾客2314,1**********,1**********
宏碁（acer）,轻薄本,京东,已成交,2026-04,7811.38,6902.92,6902.92,销售订单,PC 经营采购,顾客2315,顾客2315,1**********,1**********
惠普(HP),笔记本电脑,抖音,已成交,2026-08,6882.61,7461.29,7461.29,采购订单,PC 经营采购,顾客2316,顾客2316,1**********,1**********
联想（Lenovo）,一体机,电商通,撤销,2026-04,,5752.47,831.83,销售订单,PC 经营采购,顾客2317,顾客2317,1**********,1**********
宏碁（acer）,显示器,电商通,已成交,2026-01,8024.16,7360.47,7360.47,退换订单,PC 经营采购,顾客2318,顾客2318,1**********,1**********
七彩虹,轻薄本,抖音,已成交,2026-01,7931.87,9764.37,9764.37,采购订单,PC 经营采购,顾客2319,顾客2319,1**********,1**********
微星,游戏本,淘宝,已成交,2026-03,9619.46,8378.23,8378.23,退换订单,PC 经营采购,顾客2320,顾客2320,1**********,1**********
机械革命,电脑配件,京东,已成交,2026-01,9698.14,7857.45,7857.45,退换订单,PC 经营采购,顾客2321,顾客2321,1**********,1**********
微星,游戏本,抖音,报价中,2026-04,,8507.64,1222.35,销售订单,PC 经营采购,顾客2322,顾客2322,1**********,1**********
惠普(HP),笔记本电脑,拼多多,已成交,2026-01,7895.13,6551.76,6551.76,退换订单,PC 经营采购,顾客2323,顾客2323,1**********,1**********
七彩虹,电脑配件,淘宝,报价中,2026-08,,6999.93,667.97,采购订单,PC 经营采购,顾客2324,顾客2324,1**********,1**********
七彩虹,电脑配件,拼多多,已成交,2026-05,8805.97,9211.78,9211.78,退换订单,PC 经营采购,顾客2325,顾客2325,1**********,1**********
雷神,电脑配件,抖音,已成交,2026-01,7562.52,9330.61,9330.61,采购订单,PC 经营采购,顾客2326,顾客2326,1**********,1**********
惠普(HP),显示器,抖音,已成交,2026-03,8429.42,7826.59,7826.59,采购订单,PC 经营采购,顾客2327,顾客2327,1**********,1**********
联想（Lenovo）,电脑配件,抖音,撤销,2026-04,,5935.21,852.92,采购订单,PC 经营采购,顾客2328,顾客2328,1**********,1**********
宏碁（acer）,轻薄本,拼多多,撤销,2026-01,,7582.27,1870.78,退换订单,PC 经营采购,顾客2329,顾客2329,1**********,1**********
机械革命,轻薄本,快手,报价中,2026-02,,9419.61,1244.56,销售订单,PC 经营采购,顾客2330,顾客2330,1**********,1**********
惠普(HP),电脑配件,电商通,新建采购,2026-02,,9289.21,2141.84,退换订单,PC 经营采购,顾客2331,顾客2331,1**********,1**********
惠普(HP),轻薄本,抖音,已成交,2026-01,7463.49,8468.35,8468.35,退换订单,PC 经营采购,顾客2332,顾客2332,1**********,1**********
雷神,轻薄本,抖音,已成交,2026-08,8035.79,8956.92,8956.92,采购订单,PC 经营采购,顾客2333,顾客2333,1**********,1**********
七彩虹,一体机,快手,撤销,2026-03,,9011.22,1813.7,采购订单,PC 经营采购,顾客2334,顾客2334,1**********,1**********
雷神,游戏本,快手,撤销,2026-08,,7987.56,1434.12,销售订单,PC 经营采购,顾客2335,顾客2335,1**********,1**********
机械革命,轻薄本,京东,已成交,2026-02,9935.97,11061.39,11061.39,销售订单,PC 经营采购,顾客2336,顾客2336,1**********,1**********
机械革命,台式整机,抖音,已成交,2026-01,10446.15,10613.04,10613.04,退换订单,PC 经营采购,顾客2337,顾客2337,1**********,1**********
ThinkPad,轻薄本,快手,已成交,2026-02,6518.85,6631.64,6631.64,采购订单,PC 经营采购,顾客2338,顾客2338,1**********,1**********
雷神,游戏本,拼多多,已成交,2026-07,7714.56,9362.09,9362.09,销售订单,PC 经营采购,顾客2339,顾客2339,1**********,1**********
微星,笔记本电脑,淘宝,已成交,2026-04,8891.07,9765.95,9765.95,销售订单,PC 经营采购,顾客2340,顾客2340,1**********,1**********
联想（Lenovo）,一体机,拼多多,报价中,2026-07,,7898.56,1902.43,采购订单,PC 经营采购,顾客2341,顾客2341,1**********,1**********
ThinkPad,一体机,拼多多,撤销,2026-03,,8360.99,149.13,采购订单,PC 经营采购,顾客2342,顾客2342,1**********,1**********
ThinkPad,轻薄本,淘宝,已成交,2026-04,7918.75,6882.34,6882.34,退换订单,PC 经营采购,顾客2343,顾客2343,1**********,1**********
微星,一体机,拼多多,已成交,2026-01,8299.32,9956.78,9956.78,销售订单,PC 经营采购,顾客2344,顾客2344,1**********,1**********
华硕（ASUS）,电脑配件,天猫,已成交,2026-08,8321.01,7441.62,7441.62,销售订单,PC 经营采购,顾客2345,顾客2345,1**********,1**********
联想（Lenovo）,轻薄本,淘宝,撤销,2026-02,,5926.47,612.03,采购订单,PC 经营采购,顾客2346,顾客2346,1**********,1**********
微星,台式整机,天猫,已成交,2026-07,9864.0,10646.04,10646.04,退换订单,PC 经营采购,顾客2347,顾客2347,1**********,1**********
惠普(HP),游戏本,天猫,撤销,2026-06,,8545.85,1759.83,退换订单,PC 经营采购,顾客2348,顾客2348,1**********,1**********
惠普(HP),轻薄本,淘宝,已成交,2026-01,7910.75,8442.02,8442.02,采购订单,PC 经营采购,顾客2349,顾客2349,1**********,1**********
微星,一体机,淘宝,已成交,2026-04,8739.45,9587.24,9587.24,采购订单,PC 经营采购,顾客2350,顾客2350,1**********,1**********
联想（Lenovo）,笔记本电脑,拼多多,已成交,2026-04,7037.23,6019.59,6019.59,销售订单,PC 经营采购,顾客2351,顾客2351,1**********,1**********
ThinkPad,游戏本,抖音,已成交,2026-08,8005.2,7628.06,7628.06,销售订单,PC 经营采购,顾客2352,顾客2352,1**********,1**********
宏碁（acer）,游戏本,拼多多,报价中,2026-05,,7138.03,2056.81,采购订单,PC 经营采购,顾客2353,顾客2353,1**********,1**********
惠普(HP),电脑配件,天猫,报价中,2026-08,,8389.62,606.24,销售订单,PC 经营采购,顾客2354,顾客2354,1**********,1**********
惠普(HP),轻薄本,快手,撤销,2026-06,,9131.39,745.96,销售订单,PC 经营采购,顾客2355,顾客2355,1**********,1**********
惠普(HP),显示器,拼多多,报价中,2026-05,,9205.99,1494.27,销售订单,PC 经营采购,顾客2356,顾客2356,1**********,1**********
ThinkPad,显示器,抖音,已成交,2026-06,7872.54,6021.29,6021.29,采购订单,PC 经营采购,顾客2357,顾客2357,1**********,1**********
雷神,游戏本,拼多多,已成交,2026-06,9512.89,7424.07,7424.07,采购订单,PC 经营采购,顾客2358,顾客2358,1**********,1**********
惠普(HP),台式整机,淘宝,已成交,2026-01,7539.71,6546.28,6546.28,退换订单,PC 经营采购,顾客2359,顾客2359,1**********,1**********
惠普(HP),一体机,淘宝,已成交,2026-01,7890.84,6639.73,6639.73,采购订单,PC 经营采购,顾客2360,顾客2360,1**********,1**********
华硕（ASUS）,轻薄本,抖音,报价中,2026-01,,9988.07,133.7,退换订单,PC 经营采购,顾客2361,顾客2361,1**********,1**********
微星,笔记本电脑,京东,已成交,2026-03,9069.13,10217.47,10217.47,退换订单,PC 经营采购,顾客2362,顾客2362,1**********,1**********
宏碁（acer）,游戏本,拼多多,已成交,2026-01,6333.52,7772.19,7772.19,销售订单,PC 经营采购,顾客2363,顾客2363,1**********,1**********
宏碁（acer）,轻薄本,抖音,已成交,2026-03,8109.71,6758.32,6758.32,退换订单,PC 经营采购,顾客2364,顾客2364,1**********,1**********
华硕（ASUS）,电脑配件,淘宝,已成交,2026-08,9456.25,8507.99,8507.99,采购订单,PC 经营采购,顾客2365,顾客2365,1**********,1**********
机械革命,笔记本电脑,快手,待发布,2026-03,,10257.11,661.71,采购订单,PC 经营采购,顾客2366,顾客2366,1**********,1**********
宏碁（acer）,一体机,快手,报价中,2026-04,,7769.33,1653.19,销售订单,PC 经营采购,顾客2367,顾客2367,1**********,1**********
机械革命,显示器,京东,报价中,2026-05,,8268.76,656.62,退换订单,PC 经营采购,顾客2368,顾客2368,1**********,1**********
联想（Lenovo）,一体机,拼多多,已成交,2026-07,6861.81,7847.81,7847.81,销售订单,PC 经营采购,顾客2369,顾客2369,1**********,1**********
机械革命,一体机,拼多多,报价中,2026-06,,10893.04,3253.75,销售订单,PC 经营采购,顾客2370,顾客2370,1**********,1**********
雷神,一体机,天猫,已成交,2026-08,9501.77,10091.26,10091.26,采购订单,PC 经营采购,顾客2371,顾客2371,1**********,1**********
联想（Lenovo）,游戏本,电商通,已成交,2026-07,7452.39,7675.55,7675.55,退换订单,PC 经营采购,顾客2372,顾客2372,1**********,1**********
ThinkPad,台式整机,天猫,已成交,2026-01,6730.05,6785.44,6785.44,销售订单,PC 经营采购,顾客2373,顾客2373,1**********,1**********
机械革命,电脑配件,拼多多,报价中,2026-06,,10747.28,1654.24,退换订单,PC 经营采购,顾客2374,顾客2374,1**********,1**********
ThinkPad,台式整机,淘宝,撤销,2026-01,,8094.42,604.49,采购订单,PC 经营采购,顾客2375,顾客2375,1**********,1**********
七彩虹,笔记本电脑,拼多多,报价中,2026-01,,7938.18,1984.66,销售订单,PC 经营采购,顾客2376,顾客2376,1**********,1**********
雷神,轻薄本,抖音,已成交,2026-08,8561.2,8278.81,8278.81,销售订单,PC 经营采购,顾客2377,顾客2377,1**********,1**********
微星,显示器,淘宝,报价中,2026-05,,11207.19,2570.65,退换订单,PC 经营采购,顾客2378,顾客2378,1**********,1**********
惠普(HP),游戏本,京东,撤销,2026-07,,9013.65,1916.21,退换订单,PC 经营采购,顾客2379,顾客2379,1**********,1**********
联想（Lenovo）,笔记本电脑,淘宝,已成交,2026-02,6605.94,5677.63,5677.63,采购订单,PC 经营采购,顾客2380,顾客2380,1**********,1**********
ThinkPad,笔记本电脑,拼多多,报价中,2026-08,,6561.86,294.35,采购订单,PC 经营采购,顾客2381,顾客2381,1**********,1**********
ThinkPad,一体机,电商通,已成交,2026-07,7908.03,8409.42,8409.42,销售订单,PC 经营采购,顾客2382,顾客2382,1**********,1**********
华硕（ASUS）,台式整机,快手,新建采购,2026-08,,9787.91,1866.93,退换订单,PC 经营采购,顾客2383,顾客2383,1**********,1**********
华硕（ASUS）,一体机,电商通,已成交,2026-06,7412.25,8502.93,8502.93,退换订单,PC 经营采购,顾客2384,顾客2384,1**********,1**********
联想（Lenovo）,笔记本电脑,电商通,已成交,2026-06,6068.06,5904.95,5904.95,采购订单,PC 经营采购,顾客2385,顾客2385,1**********,1**********
华硕（ASUS）,轻薄本,抖音,已成交,2026-04,9521.53,8482.97,8482.97,退换订单,PC 经营采购,顾客2386,顾客2386,1**********,1**********
ThinkPad,台式整机,天猫,已成交,2026-04,6950.22,6017.66,6017.66,采购订单,PC 经营采购,顾客2387,顾客2387,1**********,1**********
微星,轻薄本,电商通,新建采购,2026-06,,10978.84,1435.11,退换订单,PC 经营采购,顾客2388,顾客2388,1**********,1**********
宏碁（acer）,轻薄本,天猫,报价中,2026-07,,7252.02,1765.35,销售订单,PC 经营采购,顾客2389,顾客2389,1**********,1**********
七彩虹,轻薄本,拼多多,撤销,2026-03,,7315.8,829.16,退换订单,PC 经营采购,顾客2390,顾客2390,1**********,1**********
宏碁（acer）,电脑配件,拼多多,撤销,2026-04,,7221.5,680.25,退换订单,PC 经营采购,顾客2391,顾客2391,1**********,1**********
七彩虹,笔记本电脑,抖音,已成交,2026-05,9453.3,8010.53,8010.53,销售订单,PC 经营采购,顾客2392,顾客2392,1**********,1**********
华硕（ASUS）,显示器,电商通,已成交,2026-07,8823.37,7277.65,7277.65,销售订单,PC 经营采购,顾客2393,顾客2393,1**********,1**********
ThinkPad,台式整机,拼多多,已成交,2026-01,6808.4,7277.51,7277.51,销售订单,PC 经营采购,顾客2394,顾客2394,1**********,1**********
华硕（ASUS）,一体机,抖音,新建采购,2026-02,,8357.02,833.12,退换订单,PC 经营采购,顾客2395,顾客2395,1**********,1**********
ThinkPad,显示器,京东,已成交,2026-05,6637.72,6222.29,6222.29,销售订单,PC 经营采购,顾客2396,顾客2396,1**********,1**********
雷神,显示器,拼多多,报价中,2026-05,,9138.84,594.99,退换订单,PC 经营采购,顾客2397,顾客2397,1**********,1**********
宏碁（acer）,游戏本,抖音,已成交,2026-01,7326.28,8538.5,8538.5,销售订单,PC 经营采购,顾客2398,顾客2398,1**********,1**********
宏碁（acer）,轻薄本,抖音,报价中,2026-08,,8442.34,1821.0,销售订单,PC 经营采购,顾客2399,顾客2399,1**********,1**********
雷神,笔记本电脑,抖音,已成交,2026-06,8894.58,7768.21,7768.21,采购订单,PC 经营采购,顾客2400,顾客2400,1**********,1**********
七彩虹,显示器,天猫,已成交,2026-01,9212.22,8817.69,8817.69,销售订单,PC 经营采购,顾客2401,顾客2401,1**********,1**********
华硕（ASUS）,轻薄本,拼多多,已成交,2026-07,9142.01,9494.89,9494.89,销售订单,PC 经营采购,顾客2402,顾客2402,1**********,1**********
ThinkPad,一体机,淘宝,撤销,2026-07,,6226.98,127.16,采购订单,PC 经营采购,顾客2403,顾客2403,1**********,1**********
惠普(HP),轻薄本,抖音,已成交,2026-04,7865.38,8078.5,8078.5,采购订单,PC 经营采购,顾客2404,顾客2404,1**********,1**********
宏碁（acer）,台式整机,快手,待发布,2026-08,,7796.07,1653.99,退换订单,PC 经营采购,顾客2405,顾客2405,1**********,1**********
机械革命,轻薄本,京东,撤销,2026-04,,8754.87,1198.33,采购订单,PC 经营采购,顾客2406,顾客2406,1**********,1**********
华硕（ASUS）,一体机,天猫,报价中,2026-04,,7944.07,2190.8,退换订单,PC 经营采购,顾客2407,顾客2407,1**********,1**********
雷神,笔记本电脑,拼多多,已成交,2026-03,8682.2,9302.66,9302.66,退换订单,PC 经营采购,顾客2408,顾客2408,1**********,1**********
